"gene_name" "n_syn" "n_mis" "n_non" "n_spl" "wmis_cv" "wnon_cv" "wspl_cv" "pmis_cv" "ptrunc_cv" "pallsubs_cv" "qmis_cv" "qtrunc_cv" "qallsubs_cv"
"7366" "Gm10722" 19 67 0 0 7.79387798909159 0 0 0 0.32215810912109 0 0 0.973374323619378 0
"7361" "Gm10717" 11 60 0 0 11.8070936298587 0 0 0 0.517069978009893 0 0 0.973374323619378 0
"7807" "Gm17535" 8 44 0 0 12.6533527995932 0 0 2.55351295663786e-15 0.55079388743042 1.0769163338864e-14 1.91138956514199e-11 0.973374323619378 8.06107773125101e-11
"8186" "Gm21738" 23 63 0 0 5.66880777092989 0 0 1.99840144432528e-14 0.200519444242257 2.36477504245158e-14 1.12190257084421e-10 0.973374323619378 1.32758470883232e-10
"7391" "Gm10801" 7 30 0 0 12.7748723819471 0 0 3.89566157110721e-12 0.569615282200622 1.73355774180095e-11 1.74961952481567e-08 0.973374323619378 7.78575452997643e-08
"7442" "Gm11168" 21 49 0 0 4.90173134018562 0 0 1.55174872951136e-10 0.260396798332628 2.95750979262266e-10 5.80767824498452e-07 0.973374323619378 1.10689733171891e-06
"7362" "Gm10718" 13 39 0 0 6.55458437046029 0 0 2.09043560239763e-10 0.404301783501812 6.34987284975352e-10 6.70611741249161e-07 0.973374323619378 2.03703921020093e-06
"7360" "Gm10715" 9 30 0 0 7.49626069173491 0 0 6.8510580542025e-09 0.479765852909682 2.32696411028854e-08 1.70941510739079e-05 0.973374323619378 6.53178825757994e-05
"7364" "Gm10720" 2 19 0 1 33.4380881188406 28.9567601765499 28.9567601765499 5.04979169591024e-09 0.0411761640268885 2.81494454412723e-08 1.41747652904201e-05 0.973374323619378 7.02359940921345e-05
"8260" "Gm21820" 4 23 0 0 13.4804133835942 0 0 1.88420866686911e-08 0.709728538414101 9.40357833822958e-08 4.23117898232128e-05 0.973374323619378 0.000211166755163283
